Model,Accuracy (%),Top-5 Accuracy (%),Macro F1 Score,Configuration,Train Time (min)
ResNet-18,86.71,96.85,0.794,"img=128, ep=10, lr=0.001, opt=sgd, aug=True",1.5
ResNet-18,86.18,96.85,0.767,"img=224, ep=5, lr=0.0001, opt=adam, aug=False",1.3
ResNet-18,85.79,96.47,0.741,"img=224, ep=5, lr=0.001, opt=sgd, aug=False",1.3
ResNet-18,83.72,95.93,0.744,"img=128, ep=5, lr=0.001, opt=sgd, aug=False",0.7
ResNet-18,83.56,95.62,0.735,"img=128, ep=5, lr=0.0001, opt=adam, aug=False",0.7
ResNet-18,83.33,95.7,0.725,"img=128, ep=5, lr=0.0001, opt=adamw, aug=False",0.7
ResNet-18,82.33,95.7,0.694,"img=224, ep=5, lr=0.0001, opt=adamw, aug=True",1.4
ResNet-18,82.18,94.93,0.705,"img=128, ep=5, lr=0.001, opt=sgd, aug=True",0.7
ResNet-18,81.8,96.08,0.684,"img=224, ep=5, lr=0.0001, opt=adam, aug=True",1.4
ResNet-18,81.26,96.01,0.656,"img=224, ep=5, lr=0.001, opt=sgd, aug=True",1.4
ResNet-18,78.88,92.86,0.654,"img=128, ep=5, lr=0.0001, opt=adamw, aug=True",0.7
ResNet-18,78.65,93.32,0.647,"img=128, ep=5, lr=0.0001, opt=adam, aug=True",0.7
ResNet-18,52.15,68.05,0.238,"img=128, ep=10, lr=0.0001, opt=sgd, aug=False",1.4
ResNet-18,47.16,64.36,0.175,"img=224, ep=10, lr=0.0001, opt=sgd, aug=False",2.6
ResNet-18,44.7,61.29,0.175,"img=128, ep=10, lr=0.0001, opt=sgd, aug=True",1.5
ResNet-18,42.17,60.14,0.14,"img=224, ep=10, lr=0.0001, opt=sgd, aug=True",2.7
ResNet-18,34.49,51.77,0.091,"img=128, ep=5, lr=0.0001, opt=sgd, aug=False",0.7
ResNet-18,32.64,46.54,0.064,"img=128, ep=5, lr=0.0001, opt=sgd, aug=True",0.7
ResNet-18,32.64,48.16,0.058,"img=224, ep=5, lr=0.0001, opt=sgd, aug=False",1.3
ResNet-18,29.34,43.39,0.033,"img=224, ep=5, lr=0.0001, opt=sgd, aug=True",1.3
SVM,67.36,84.18,0.531,"img=64, C=10, aug=False",3.8
SVM,66.97,81.72,0.523,"img=64, C=10, aug=True",9.7
SVM,64.52,82.33,0.48,"img=128, C=10, aug=False",14.7
SVM,63.75,80.03,0.46,"img=128, C=10, aug=True",47.1
ViT-Small,98.23,99.69,0.974,"img=224, ep=10, lr=0.001, opt=adamw, aug=False",7.5
ViT-Small,98.0,99.69,0.969,"img=224, ep=10, lr=0.001, opt=adam, aug=True",7.5
ViT-Small,98.0,99.92,0.969,"img=224, ep=10, lr=0.001, opt=adam, aug=False",7.5
ViT-Small,98.0,99.77,0.969,"img=224, ep=10, lr=0.001, opt=adamw, aug=True",7.6
