run_key,model,img_size,epochs,lr,optimizer,augment,test_acc_%,top5_acc_%,macro_f1,weighted_f1,macro_precision,macro_recall,train_min
resnet18_img128_ep5_lr0.001_adam_augTrue,resnet18,128,5,0.001,adam,True,92.24,98.85,0.889,0.921,0.899,0.891,0.8
efficientnet_b0_img128_ep5_lr0.001_adam_augFalse,efficientnet_b0,128,5,0.001,adam,False,91.94,97.85,0.882,0.917,0.89,0.883,1.1
efficientnet_b0_img224_ep10_lr0.0001_adam_augTrue,efficientnet_b0,224,10,0.0001,adam,True,91.94,99.16,0.875,0.911,0.906,0.868,4.3
efficientnet_b0_img128_ep5_lr0.001_adam_augTrue,efficientnet_b0,128,5,0.001,adam,True,91.94,98.31,0.886,0.918,0.9,0.883,1.1
resnet18_img224_ep10_lr0.0001_adamw_augTrue,resnet18,224,10,0.0001,adamw,True,91.94,98.69,0.874,0.912,0.921,0.866,2.7
efficientnet_b0_img224_ep10_lr0.0001_adamw_augTrue,efficientnet_b0,224,10,0.0001,adamw,True,91.71,98.92,0.867,0.909,0.902,0.863,4.3
efficientnet_b0_img128_ep5_lr0.001_adamw_augFalse,efficientnet_b0,128,5,0.001,adamw,False,91.63,98.23,0.879,0.915,0.888,0.88,1.0
resnet18_img128_ep10_lr0.0001_adamw_augFalse,resnet18,128,10,0.0001,adamw,False,91.47,97.85,0.871,0.91,0.89,0.869,1.5
resnet18_img128_ep10_lr0.0001_adam_augFalse,resnet18,128,10,0.0001,adam,False,90.63,97.62,0.856,0.9,0.888,0.85,1.4
resnet18_img224_ep10_lr0.001_sgd_augFalse,resnet18,224,10,0.001,sgd,False,90.48,98.23,0.842,0.898,0.876,0.838,2.6
resnet18_img224_ep10_lr0.001_sgd_augTrue,resnet18,224,10,0.001,sgd,True,89.48,98.08,0.831,0.887,0.883,0.825,2.7
resnet18_img128_ep10_lr0.001_sgd_augFalse,resnet18,128,10,0.001,sgd,False,88.71,97.24,0.827,0.883,0.851,0.824,1.4
resnet18_img128_ep10_lr0.0001_adamw_augTrue,resnet18,128,10,0.0001,adamw,True,88.56,97.31,0.829,0.88,0.869,0.819,1.5
resnet18_img128_ep10_lr0.0001_adam_augTrue,resnet18,128,10,0.0001,adam,True,88.25,97.62,0.819,0.876,0.843,0.817,1.5
resnet18_img224_ep5_lr0.0001_adamw_augFalse,resnet18,224,5,0.0001,adamw,False,86.87,97.16,0.776,0.85,0.844,0.77,1.3
resnet18_img128_ep10_lr0.001_sgd_augTrue,resnet18,128,10,0.001,sgd,True,86.71,96.85,0.794,0.86,0.818,0.794,1.5
resnet18_img224_ep5_lr0.0001_adam_augFalse,resnet18,224,5,0.0001,adam,False,86.18,96.85,0.767,0.842,0.829,0.76,1.3
efficientnet_b0_img224_ep5_lr0.0001_adam_augFalse,efficientnet_b0,224,5,0.0001,adam,False,85.94,97.39,0.776,0.839,0.866,0.757,2.3
resnet18_img224_ep5_lr0.001_sgd_augFalse,resnet18,224,5,0.001,sgd,False,85.79,96.47,0.741,0.838,0.787,0.744,1.3
efficientnet_b0_img224_ep5_lr0.0001_adamw_augFalse,efficientnet_b0,224,5,0.0001,adamw,False,85.1,97.16,0.765,0.828,0.847,0.749,2.3
